FILE_DATE active resolved deaths new act.p res.p death.p new.p beta Date roll_mean roll_geo DailyMean
2020-10-07 5344 47613 2988 583 0.000366781056966369 0.00326787920384351 0.000205078929306795 4.00137268359643e-05 0.115561793697787 2020-10-07 0.134691082303786 0.120176438312518 14.3
2020-10-08 5442 48308 2992 797 0.000373507206588881 0.00331557995881949 0.000205353466026081 5.47014413177763e-05 0.158419607967753 2020-10-08 0.13616796156127 0.12588353691631 10.1
2020-10-09 5652 49032 2997 939 0.000387920384351407 0.0033652711050103 0.000205696636925189 6.44474948524365e-05 0.181762414847027 2020-10-09 0.140417514276664 0.129179393665446 11.2
2020-10-10 5754 49732 3004 809 0.000394921070693205 0.00341331503088538 0.00020617707618394 5.55250514756349e-05 0.15158317149856 2020-10-10 0.144487929901701 0.132125459744504 16.2
2020-10-11 5697 50437 3005 649 0.000391008922443377 0.00346170212765957 0.000206245710363761 4.45435827041867e-05 0.12099807177273 2020-10-11 0.146661335501336 0.133822047379137 8.9
2020-10-12 5833 51105 3008 807 0.000400343170899108 0.00350754975978037 0.000206451612903226 5.53877831159918e-05 0.148971557426591 2020-10-12 0.144442613673248 0.138148846980363 12.1
2020-10-13 5946 51729 3017 746 0.000408098833218943 0.00355037748798902 0.00020706932052162 5.12010981468771e-05 0.134118892101459 2020-10-13 0.136946707161802 0.142943460727731 14.4
2020-10-14 5884 52512 3017 721 0.000403843514070007 0.00360411805078929 0.00020706932052162 4.94852436513384e-05 0.130775632895232 2020-10-14 0.135933316820478 0.145491464246067 12.3
2020-10-15 5883 53291 3022 783 0.000403774879890185 0.00365758407687028 0.000207412491420728 5.37405628002745e-05 0.142888555171136 2020-10-15 0.135385369840287 0.143362601544326 12.6
2020-10-16 5873 54004 3031 712 0.00040308853809197 0.00370652024708305 0.000208030199039121 4.88675360329444e-05 0.129291069266904 2020-10-16 0.131793707368423 0.136553307060683 8.7
2020-10-17 5986 54686 3041 805 0.000410844200411805 0.00375332875772135 0.000208716540837337 5.52505147563487e-05 0.144489439109291 2020-10-17 0.132806286969557 0.135621538741312 9.6
2020-10-18 5954 55371 3046 658 0.000408647906657515 0.00380034317089911 0.000209059711736445 4.51612903225806e-05 0.117162442911396 2020-10-18 0.133276918775012 0.134998857060317 10.5
2020-10-19 6047 55978 3050 704 0.00041503088538092 0.00384200411805079 0.000209334248455731 4.8318462594372e-05 0.123829920123545 2020-10-19 0.133033313507551 0.131480649097985 7.5
2020-10-20 6237 56606 3053 821 0.000428071379547014 0.00388510638297872 0.000209540150995196 5.63486616334935e-05 0.141206949309391 2020-10-20 0.134071438833852 0.132451535829457 8.9
2020-10-21 6299 57325 3062 790 0.000432326698695951 0.00393445435827042 0.00021015785861359 5.42210020590254e-05 0.134070055533421 2020-10-21 0.135550156435404 0.1329231314602 13.1
2020-10-22 6390 58066 3071 841 0.000438572409059712 0.00398531228551819 0.000210775566231984 5.77213452299245e-05 0.141183318298907 2020-10-22 0.141429267247338 0.132695348183568 10.6
